timestamp,policy,proto,src,dst,src_port,dst_port,path
1778546236.2699733,FIFO,icmp,10.0.0.1,10.0.0.2,,,upper
1778546236.2744231,FIFO,icmp,10.0.0.1,10.0.0.3,,,lower
1778546236.2761502,FIFO,icmp,10.0.0.1,10.0.0.4,,,upper
1778546236.2773545,FIFO,icmp,10.0.0.1,10.0.0.5,,,lower
1778546236.3015418,FIFO,icmp,10.0.0.1,10.0.0.6,,,upper
1778546236.326532,FIFO,icmp,10.0.0.1,10.0.0.7,,,lower
1778546236.349652,FIFO,icmp,10.0.0.1,10.0.0.8,,,upper
1778546236.3762538,FIFO,icmp,10.0.0.2,10.0.0.3,,,lower
1778546236.379245,FIFO,icmp,10.0.0.2,10.0.0.4,,,upper
1778546236.3814003,FIFO,icmp,10.0.0.2,10.0.0.5,,,lower
1778546236.4033217,FIFO,icmp,10.0.0.2,10.0.0.6,,,upper
1778546236.4298537,FIFO,icmp,10.0.0.2,10.0.0.7,,,lower
1778546236.4621947,FIFO,icmp,10.0.0.2,10.0.0.8,,,upper
1778546236.4893367,FIFO,icmp,10.0.0.3,10.0.0.4,,,lower
1778546236.4912045,FIFO,icmp,10.0.0.3,10.0.0.5,,,upper
1778546236.513924,FIFO,icmp,10.0.0.3,10.0.0.6,,,lower
1778546236.5363204,FIFO,icmp,10.0.0.3,10.0.0.7,,,upper
1778546236.558936,FIFO,icmp,10.0.0.3,10.0.0.8,,,lower
1778546236.583127,FIFO,icmp,10.0.0.4,10.0.0.5,,,upper
1778546236.6084003,FIFO,icmp,10.0.0.4,10.0.0.6,,,lower
1778546236.6326423,FIFO,icmp,10.0.0.4,10.0.0.7,,,upper
1778546236.6553004,FIFO,icmp,10.0.0.4,10.0.0.8,,,lower
1778546236.768122,FIFO,icmp,10.0.0.5,10.0.0.6,,,upper
1778546236.7696698,FIFO,icmp,10.0.0.5,10.0.0.7,,,lower
1778546236.7707355,FIFO,icmp,10.0.0.5,10.0.0.8,,,upper
1778546236.8809042,FIFO,icmp,10.0.0.6,10.0.0.7,,,lower
1778546236.8999484,FIFO,icmp,10.0.0.6,10.0.0.8,,,upper
1778546237.0308897,FIFO,icmp,10.0.0.7,10.0.0.8,,,lower
