timestamp,policy,proto,src,dst,src_port,dst_port,path
1778550706.2589426,RL,icmp,10.0.0.1,10.0.0.2,,,upper
1778550706.2655783,RL,icmp,10.0.0.1,10.0.0.3,,,lower
1778550706.2674055,RL,icmp,10.0.0.1,10.0.0.4,,,upper
1778550706.2687788,RL,icmp,10.0.0.1,10.0.0.5,,,lower
1778550706.2920845,RL,icmp,10.0.0.1,10.0.0.6,,,upper
1778550706.3151152,RL,icmp,10.0.0.1,10.0.0.7,,,upper
1778550706.3390043,RL,icmp,10.0.0.1,10.0.0.8,,,lower
1778550706.3632166,RL,icmp,10.0.0.2,10.0.0.3,,,upper
1778550706.3645492,RL,icmp,10.0.0.2,10.0.0.4,,,lower
1778550706.3658197,RL,icmp,10.0.0.2,10.0.0.5,,,upper
1778550706.3880439,RL,icmp,10.0.0.2,10.0.0.6,,,lower
1778550706.4110641,RL,icmp,10.0.0.2,10.0.0.7,,,upper
1778550706.4338307,RL,icmp,10.0.0.2,10.0.0.8,,,lower
1778550706.457271,RL,icmp,10.0.0.3,10.0.0.4,,,upper
1778550706.4602232,RL,icmp,10.0.0.3,10.0.0.5,,,lower
1778550706.4828641,RL,icmp,10.0.0.3,10.0.0.6,,,upper
1778550706.5097418,RL,icmp,10.0.0.3,10.0.0.7,,,upper
1778550706.5340178,RL,icmp,10.0.0.3,10.0.0.8,,,lower
1778550706.56102,RL,icmp,10.0.0.4,10.0.0.5,,,upper
1778550706.5842652,RL,icmp,10.0.0.4,10.0.0.6,,,lower
1778550706.6077552,RL,icmp,10.0.0.4,10.0.0.7,,,upper
1778550706.6304765,RL,icmp,10.0.0.4,10.0.0.8,,,lower
1778550706.742823,RL,icmp,10.0.0.5,10.0.0.6,,,upper
1778550706.7442324,RL,icmp,10.0.0.5,10.0.0.7,,,lower
1778550706.745428,RL,icmp,10.0.0.5,10.0.0.8,,,upper
1778550706.83923,RL,icmp,10.0.0.6,10.0.0.7,,,lower
1778550706.8461359,RL,icmp,10.0.0.6,10.0.0.8,,,upper
1778550706.9395485,RL,icmp,10.0.0.7,10.0.0.8,,,upper
1778550708.2142732,RL,tcp,10.0.0.6,10.0.0.4,50630,5002,lower
1778550708.2246222,RL,tcp,10.0.0.1,10.0.0.6,42370,5005,upper
1778550708.2312682,RL,tcp,10.0.0.3,10.0.0.7,44896,5001,lower
1778550708.240279,RL,tcp,10.0.0.3,10.0.0.5,44100,5007,upper
1778550708.242534,RL,tcp,10.0.0.2,10.0.0.8,42026,5003,upper
1778550708.253266,RL,tcp,10.0.0.8,10.0.0.4,35792,5006,lower
1778550708.2584739,RL,tcp,10.0.0.5,10.0.0.1,54400,5004,upper
1778550708.2697,RL,tcp,10.0.0.1,10.0.0.8,52734,5009,lower
1778550708.2941396,RL,tcp,10.0.0.8,10.0.0.2,37834,5008,upper
1778550708.29958,RL,tcp,10.0.0.6,10.0.0.4,49532,5012,lower
1778550708.3207605,RL,tcp,10.0.0.4,10.0.0.6,57678,5013,upper
1778550708.3337371,RL,tcp,10.0.0.6,10.0.0.4,53922,5016,lower
1778550708.3349364,RL,tcp,10.0.0.4,10.0.0.8,36598,5017,upper
1778550708.3356984,RL,tcp,10.0.0.7,10.0.0.1,40060,5010,lower
1778550708.3444867,RL,tcp,10.0.0.3,10.0.0.7,46494,5011,upper
1778550708.3501148,RL,tcp,10.0.0.7,10.0.0.4,48536,5018,lower
1778550708.3567975,RL,tcp,10.0.0.7,10.0.0.3,35948,5020,upper
1778550708.3629112,RL,tcp,10.0.0.7,10.0.0.4,52450,5022,lower
1778550708.3902373,RL,tcp,10.0.0.3,10.0.0.5,55706,5015,upper
1778550708.3954427,RL,tcp,10.0.0.8,10.0.0.1,60580,5014,upper
1778550708.4281726,RL,tcp,10.0.0.3,10.0.0.7,47946,5019,lower
1778550708.4383526,RL,tcp,10.0.0.4,10.0.0.7,53490,5021,upper
1778550708.4638495,RL,tcp,10.0.0.2,10.0.0.8,49710,5025,lower
1778550708.484866,RL,tcp,10.0.0.7,10.0.0.1,49250,5026,upper
1778550708.4866064,RL,tcp,10.0.0.7,10.0.0.4,59678,5024,lower
1778550708.4885554,RL,tcp,10.0.0.2,10.0.0.6,59102,5023,upper
1778550708.5352273,RL,tcp,10.0.0.1,10.0.0.8,50680,5027,upper
1778550708.5555136,RL,tcp,10.0.0.5,10.0.0.2,52484,5028,lower
1778550708.5658839,RL,tcp,10.0.0.4,10.0.0.6,48130,5029,upper
1778550708.5782392,RL,tcp,10.0.0.2,10.0.0.6,60328,5031,lower
1778550708.5792747,RL,tcp,10.0.0.7,10.0.0.1,48652,5032,upper
1778550708.6317732,RL,tcp,10.0.0.7,10.0.0.3,34836,5034,lower
1778550708.6543877,RL,tcp,10.0.0.5,10.0.0.2,42276,5036,upper
1778550708.6624968,RL,tcp,10.0.0.3,10.0.0.5,50308,5033,lower
1778550708.6663063,RL,tcp,10.0.0.8,10.0.0.1,38160,5030,upper
1778550708.7437818,RL,tcp,10.0.0.3,10.0.0.8,58608,5037,lower
1778550708.7465317,RL,tcp,10.0.0.3,10.0.0.6,60768,5035,upper
1778550708.7661905,RL,tcp,10.0.0.8,10.0.0.4,43364,5038,lower
1778550708.7763746,RL,tcp,10.0.0.6,10.0.0.3,46818,5040,upper
1778550708.8050468,RL,tcp,10.0.0.3,10.0.0.8,52506,5039,lower
1778550708.8550727,RL,tcp,10.0.0.4,10.0.0.8,44804,5045,upper
1778550708.8581889,RL,tcp,10.0.0.5,10.0.0.1,58294,5044,lower
1778550708.889407,RL,tcp,10.0.0.5,10.0.0.1,35698,5042,upper
1778550708.9235463,RL,tcp,10.0.0.3,10.0.0.8,54598,5041,upper
1778550708.9244363,RL,tcp,10.0.0.5,10.0.0.4,54892,5046,lower
1778550708.9465027,RL,tcp,10.0.0.3,10.0.0.7,46254,5043,upper
1778550708.969841,RL,tcp,10.0.0.8,10.0.0.2,48746,5048,lower
