timestamp,policy,proto,src,dst,src_port,dst_port,path
1778383534.1104093,FIFO,icmp,10.0.0.1,10.0.0.2,,,upper
1778383534.1205907,FIFO,icmp,10.0.0.1,10.0.0.3,,,lower
1778383534.122557,FIFO,icmp,10.0.0.1,10.0.0.4,,,upper
1778383534.1293,FIFO,icmp,10.0.0.1,10.0.0.5,,,lower
1778383534.1529212,FIFO,icmp,10.0.0.1,10.0.0.6,,,upper
1778383534.1770592,FIFO,icmp,10.0.0.1,10.0.0.7,,,lower
1778383534.2070918,FIFO,icmp,10.0.0.1,10.0.0.8,,,upper
1778383534.2325501,FIFO,icmp,10.0.0.2,10.0.0.3,,,lower
1778383534.2339237,FIFO,icmp,10.0.0.2,10.0.0.4,,,upper
1778383534.2349281,FIFO,icmp,10.0.0.2,10.0.0.5,,,lower
1778383534.2568982,FIFO,icmp,10.0.0.2,10.0.0.6,,,upper
1778383534.2796702,FIFO,icmp,10.0.0.2,10.0.0.7,,,lower
1778383534.3031063,FIFO,icmp,10.0.0.2,10.0.0.8,,,upper
1778383534.3314207,FIFO,icmp,10.0.0.3,10.0.0.4,,,lower
1778383534.3326793,FIFO,icmp,10.0.0.3,10.0.0.5,,,upper
1778383534.3548503,FIFO,icmp,10.0.0.3,10.0.0.6,,,lower
1778383534.3789587,FIFO,icmp,10.0.0.3,10.0.0.7,,,upper
1778383534.4071124,FIFO,icmp,10.0.0.3,10.0.0.8,,,lower
1778383534.4310622,FIFO,icmp,10.0.0.4,10.0.0.5,,,upper
1778383534.4537768,FIFO,icmp,10.0.0.4,10.0.0.6,,,lower
1778383534.4783127,FIFO,icmp,10.0.0.4,10.0.0.7,,,upper
1778383534.5011172,FIFO,icmp,10.0.0.4,10.0.0.8,,,lower
1778383534.6146297,FIFO,icmp,10.0.0.5,10.0.0.6,,,upper
1778383534.6160417,FIFO,icmp,10.0.0.5,10.0.0.7,,,lower
1778383534.617253,FIFO,icmp,10.0.0.5,10.0.0.8,,,upper
1778383534.7089767,FIFO,icmp,10.0.0.6,10.0.0.7,,,lower
1778383534.710311,FIFO,icmp,10.0.0.6,10.0.0.8,,,upper
1778383534.7995064,FIFO,icmp,10.0.0.7,10.0.0.8,,,lower
1778383536.0593467,FIFO,tcp,10.0.0.1,10.0.0.5,58756,5001,upper
1778383536.1957805,FIFO,tcp,10.0.0.6,10.0.0.2,37966,5002,lower
1778383536.1966724,FIFO,tcp,10.0.0.1,10.0.0.8,51150,5003,upper
1778383536.20668,FIFO,tcp,10.0.0.3,10.0.0.7,33000,5007,lower
1778383536.2152314,FIFO,tcp,10.0.0.6,10.0.0.2,35318,5004,upper
1778383536.2235007,FIFO,tcp,10.0.0.7,10.0.0.1,35378,5006,lower
1778383536.2293293,FIFO,tcp,10.0.0.2,10.0.0.8,59252,5005,upper
1778383536.2465162,FIFO,tcp,10.0.0.7,10.0.0.1,43122,5008,lower
1778383536.286075,FIFO,tcp,10.0.0.3,10.0.0.7,53598,5009,upper
1778383536.3369055,FIFO,tcp,10.0.0.5,10.0.0.4,56596,5010,lower
1778383536.360304,FIFO,tcp,10.0.0.4,10.0.0.5,41930,5011,upper
1778383536.4894433,FIFO,tcp,10.0.0.7,10.0.0.2,42622,5012,lower
1778383536.491079,FIFO,tcp,10.0.0.2,10.0.0.7,51466,5013,upper
1778383536.505033,FIFO,tcp,10.0.0.5,10.0.0.4,59520,5014,lower
1778383536.5309258,FIFO,tcp,10.0.0.3,10.0.0.6,46492,5015,upper
1778383536.571566,FIFO,tcp,10.0.0.7,10.0.0.1,43668,5016,lower
1778383536.591985,FIFO,tcp,10.0.0.2,10.0.0.6,43388,5017,upper
1778383536.6313226,FIFO,tcp,10.0.0.6,10.0.0.3,33650,5018,lower
1778383536.6426182,FIFO,tcp,10.0.0.6,10.0.0.3,56800,5020,upper
1778383536.6477401,FIFO,tcp,10.0.0.1,10.0.0.7,39962,5019,lower
1778383536.6510043,FIFO,tcp,10.0.0.4,10.0.0.8,44200,5021,upper
1778383536.742559,FIFO,tcp,10.0.0.4,10.0.0.7,47600,5023,lower
1778383536.7432294,FIFO,tcp,10.0.0.6,10.0.0.4,46508,5024,upper
1778383536.7450256,FIFO,tcp,10.0.0.6,10.0.0.3,44410,5022,lower
1778383536.840314,FIFO,tcp,10.0.0.8,10.0.0.1,51976,5026,upper
1778383536.8437848,FIFO,tcp,10.0.0.1,10.0.0.6,60244,5025,lower
1778383536.9169605,FIFO,tcp,10.0.0.4,10.0.0.7,49326,5027,upper
1778383536.9926493,FIFO,tcp,10.0.0.5,10.0.0.1,47072,5028,lower
1778383537.0338888,FIFO,tcp,10.0.0.6,10.0.0.4,38044,5030,upper
1778383537.0373693,FIFO,tcp,10.0.0.3,10.0.0.7,33376,5029,lower
1778383537.051289,FIFO,tcp,10.0.0.7,10.0.0.2,39912,5032,upper
1778383537.0777547,FIFO,tcp,10.0.0.3,10.0.0.6,33944,5031,lower
1778383537.1022584,FIFO,tcp,10.0.0.2,10.0.0.5,32848,5033,upper
1778383537.1134892,FIFO,tcp,10.0.0.5,10.0.0.1,50352,5034,lower
1778383537.1313515,FIFO,tcp,10.0.0.3,10.0.0.6,38120,5035,upper
1778383537.217603,FIFO,tcp,10.0.0.5,10.0.0.1,47762,5036,lower
1778383537.2387335,FIFO,tcp,10.0.0.1,10.0.0.6,48476,5037,upper
1778383537.2882588,FIFO,tcp,10.0.0.6,10.0.0.3,38510,5038,lower
1778383537.3403645,FIFO,tcp,10.0.0.4,10.0.0.6,47564,5039,upper
1778383537.3609521,FIFO,tcp,10.0.0.6,10.0.0.3,42324,5040,lower
1778383537.3917053,FIFO,tcp,10.0.0.2,10.0.0.6,43164,5043,upper
1778383537.3928058,FIFO,tcp,10.0.0.5,10.0.0.2,60852,5044,lower
1778383537.4085655,FIFO,tcp,10.0.0.6,10.0.0.2,39788,5042,upper
1778383537.4117603,FIFO,tcp,10.0.0.3,10.0.0.8,34412,5041,lower
1778383537.4632323,FIFO,tcp,10.0.0.3,10.0.0.5,42006,5045,upper
1778383537.50078,FIFO,tcp,10.0.0.8,10.0.0.2,53952,5046,lower
1778383537.525364,FIFO,tcp,10.0.0.6,10.0.0.1,33118,5048,upper
1778383537.5293663,FIFO,tcp,10.0.0.4,10.0.0.6,42616,5047,lower
1778383537.5356426,FIFO,tcp,10.0.0.5,10.0.0.1,33836,5050,upper
1778383537.5457308,FIFO,tcp,10.0.0.3,10.0.0.5,50084,5051,lower
1778383537.5476344,FIFO,tcp,10.0.0.3,10.0.0.8,48560,5049,upper
