policy,flow_id,src,dst,size_kb,throughput_mbps,latency_ms,packet_loss_percent
FIFO,0,h1,h5,387.5,8.38,530.703,0.0
FIFO,1,h6,h2,301.2,2.32,580.196,0.0
FIFO,2,h1,h8,264.9,5.43,548.841,0.0
FIFO,3,h6,h2,551.0,3.46,576.941,0.0
FIFO,4,h2,h8,474.6,2.24,576.057,0.0
FIFO,5,h7,h1,599.1,1.54,553.867,0.0
FIFO,6,h3,h7,357.7,1.99,570.554,0.0
FIFO,7,h7,h1,440.0,1.99,551.705,0.0
FIFO,8,h3,h7,382.3,1.98,570.337,0.0
FIFO,9,h5,h4,312.4,2.59,601.896,0.0
FIFO,10,h4,h5,396.6,1.04,585.412,0.0
FIFO,11,h7,h2,284.8,0.954,628.989,0.0
FIFO,12,h2,h7,677.7,1.17,637.365,0.0
FIFO,13,h5,h4,476.7,1.24,612.754,0.0
FIFO,14,h3,h6,427.6,1.0,644.616,0.0
FIFO,15,h7,h1,567.5,1.33,633.634,0.0
FIFO,16,h2,h6,439.7,0.971,619.793,0.0
FIFO,17,h6,h3,364.5,0.905,649.247,0.0
FIFO,18,h1,h7,383.9,1.53,668.352,0.0
FIFO,19,h6,h3,577.7,0.966,678.909,0.0
FIFO,20,h4,h8,382.4,1.03,675.81,0.0
FIFO,21,h6,h3,542.3,0.848,698.153,0.0
FIFO,22,h4,h7,748.7,1.63,665.877,0.0
FIFO,23,h6,h4,627.9,0.903,679.015,0.0
FIFO,24,h1,h6,330.0,1.06,733.991,0.0
FIFO,25,h8,h1,440.8,1.27,740.257,0.0
FIFO,26,h4,h7,680.4,1.39,755.65,0.0
FIFO,27,h5,h1,692.4,0.796,746.792,0.0
FIFO,28,h3,h7,396.8,1.06,761.485,0.0
FIFO,29,h6,h4,726.9,0.82,746.78,0.0
FIFO,30,h3,h6,706.3,0.876,780.305,0.0
FIFO,31,h7,h2,437.0,0.845,784.806,0.0
FIFO,32,h2,h5,412.1,0.623,782.7,0.0
FIFO,33,h5,h1,689.4,0.691,796.324,0.0
FIFO,34,h3,h6,370.4,0.805,781.196,0.0
FIFO,35,h5,h1,493.0,0.713,805.122,0.0
FIFO,36,h1,h6,579.9,0.845,799.818,0.0
FIFO,37,h6,h3,686.2,0.774,810.743,0.0
FIFO,38,h4,h6,627.6,0.787,852.113,0.0
FIFO,39,h6,h3,747.6,0.745,831.398,0.0
FIFO,40,h3,h8,475.7,0.625,844.06,0.0
FIFO,41,h6,h2,419.0,0.841,834.714,0.0
FIFO,42,h2,h6,285.5,0.659,820.02,0.0
FIFO,43,h5,h2,702.7,0.673,869.615,0.0
FIFO,44,h3,h5,369.0,0.632,825.726,0.0
FIFO,45,h8,h2,316.2,0.704,843.783,0.0
FIFO,46,h4,h6,653.7,0.633,913.184,0.0
FIFO,47,h6,h1,579.5,0.652,844.477,0.0
FIFO,48,h3,h8,483.5,0.562,919.434,0.0
FIFO,49,h5,h1,451.3,0.597,907.533,0.0
FIFO,50,h3,h5,345.8,0.604,827.476,0.0
FIFO,51,h8,h2,341.7,0.6,849.416,0.0
FIFO,52,h4,h6,471.6,0.537,914.452,0.0
FIFO,53,h5,h1,749.6,0.673,929.457,0.0
FIFO,54,h1,h5,333.2,0.531,934.512,0.0
FIFO,55,h8,h4,682.3,0.695,928.026,0.0
FIFO,56,h1,h6,251.1,0.625,854.672,0.0
FIFO,57,h8,h3,392.6,0.634,941.926,0.0
FIFO,58,h4,h6,398.4,0.503,951.787,0.0
FIFO,59,h5,h1,406.8,0.624,960.545,0.0
FIFO,60,h1,h8,709.7,0.602,932.405,0.0
FIFO,61,h6,h1,290.1,0.429,949.385,0.0
FIFO,62,h2,h5,284.0,0.666,1010.065,0.0
FIFO,63,h6,h4,720.8,0.686,1002.974,0.0
FIFO,64,h2,h5,291.0,0.413,1026.851,0.0
FIFO,65,h7,h3,584.9,0.651,988.665,0.0
FIFO,66,h3,h6,447.9,0.511,1027.945,0.0
FIFO,67,h7,h4,714.5,0.798,994.933,0.0
FIFO,68,h1,h5,560.6,0.635,1034.414,0.0
FIFO,69,h5,h1,356.6,0.488,1040.074,0.0
FIFO,70,h3,h6,690.4,0.642,1039.908,0.0
FIFO,71,h6,h3,328.9,0.574,1052.085,0.0
FIFO,72,h3,h5,658.6,0.535,1029.141,0.0
FIFO,73,h7,h1,382.2,0.647,1084.178,0.0
FIFO,74,h1,h6,390.9,0.526,1027.675,0.0
FIFO,75,h6,h3,593.7,0.622,1081.395,0.0
FIFO,76,h3,h8,702.7,0.524,1063.715,0.0
FIFO,77,h5,h1,461.8,0.49,1102.439,0.0
FIFO,78,h3,h5,416.8,0.519,1044.96,0.0
FIFO,79,h6,h3,620.6,0.642,1103.17,0.0
FIFO,80,h4,h5,287.6,0.627,1046.015,0.0
FIFO,81,h6,h1,541.3,0.574,1048.962,0.0
FIFO,82,h2,h8,270.9,0.437,1046.414,0.0
FIFO,83,h7,h1,355.0,0.453,1103.535,0.0
