episode,reward,avg_10,avg_20,decay,num_states,epsilon
1,14.1412,14.1412,14.1412,0.0000,6,0.98019
2,13.8629,13.8629,13.8629,0.0000,9,0.96077
3,13.8630,13.8630,13.8630,0.0000,13,0.94174
4,13.7606,13.7606,13.7606,0.0000,17,0.92308
5,14.2302,14.2302,14.2302,0.0000,19,0.90479
6,14.1293,14.1293,14.1293,0.0000,24,0.88687
7,14.2316,14.2316,14.2316,0.0000,27,0.86930
8,14.1279,14.1279,14.1279,0.0000,28,0.85208
9,14.2303,14.2303,14.2303,0.0000,31,0.83519
10,13.0536,13.9631,13.9631,0.0000,33,0.81865
11,11.7853,13.7275,13.7275,0.0000,33,0.80243
12,11.0986,13.4510,13.4510,0.0000,33,0.78653
13,11.4050,13.2052,13.2052,0.0000,33,0.77095
14,11.1837,12.9475,12.9475,0.0000,33,0.75568
15,9.9409,12.5186,12.5186,0.0000,33,0.74071
16,10.0233,12.1080,12.1080,0.0000,34,0.72603
17,9.3274,11.6176,11.6176,0.0000,35,0.71165
18,8.7630,11.0811,11.0811,0.0000,35,0.69755
19,8.3353,10.4916,10.4916,0.0000,36,0.68373
20,9.2652,10.1128,12.0379,-1.9252,36,0.67019
21,9.0238,9.8366,11.7820,-1.9454,36,0.65691
22,9.2448,9.6512,11.5511,-1.8999,36,0.64389
23,8.5525,9.3660,11.2856,-1.9196,36,0.63114
24,9.2318,9.1708,11.0592,-1.8884,36,0.61863
25,8.3802,9.0147,10.7667,-1.7519,36,0.60638
26,7.9938,8.8118,10.4599,-1.6481,36,0.59437
27,7.6040,8.6394,10.1285,-1.4891,36,0.58259
28,7.3625,8.4994,9.7902,-1.2909,36,0.57105
29,7.4205,8.4079,9.4498,-1.0419,36,0.55974
30,6.8958,8.1710,9.1419,-0.9709,36,0.54865
