timestamp,policy,src,dst,path,proto,tcp_dst,flow_size_kb
1778382230.240435,RL,10.0.0.1,10.0.0.5,lower,tcp,5001,387.5
1778382230.3290322,RL,10.0.0.6,10.0.0.2,lower,tcp,5002,301.2
1778382230.3808746,RL,10.0.0.2,10.0.0.8,upper,tcp,5005,474.6
1778382230.3961546,RL,10.0.0.1,10.0.0.8,lower,tcp,5003,264.9
1778382230.418012,RL,10.0.0.3,10.0.0.7,lower,tcp,5007,357.7
1778382230.4277449,RL,10.0.0.7,10.0.0.1,upper,tcp,5008,440.0
1778382230.429325,RL,10.0.0.7,10.0.0.1,lower,tcp,5006,599.1
1778382230.4718378,RL,10.0.0.3,10.0.0.7,upper,tcp,5009,382.3
1778382230.4784307,RL,10.0.0.6,10.0.0.2,lower,tcp,5004,551.0
1778382230.52321,RL,10.0.0.5,10.0.0.4,upper,tcp,5010,312.4
1778382230.5740578,RL,10.0.0.4,10.0.0.5,lower,tcp,5011,396.6
1778382230.6851692,RL,10.0.0.2,10.0.0.7,upper,tcp,5013,677.7
1778382230.6872253,RL,10.0.0.7,10.0.0.2,lower,tcp,5012,284.8
1778382230.7069244,RL,10.0.0.3,10.0.0.6,lower,tcp,5015,427.6
1778382230.7338555,RL,10.0.0.5,10.0.0.4,upper,tcp,5014,476.7
1778382230.764832,RL,10.0.0.7,10.0.0.1,lower,tcp,5016,567.5
1778382230.779642,RL,10.0.0.6,10.0.0.3,upper,tcp,5018,364.5
1778382230.7954514,RL,10.0.0.2,10.0.0.6,lower,tcp,5017,439.7
1778382230.8256452,RL,10.0.0.6,10.0.0.3,upper,tcp,5020,577.7
1778382230.8441753,RL,10.0.0.1,10.0.0.7,lower,tcp,5019,383.9
1778382230.8593097,RL,10.0.0.4,10.0.0.8,lower,tcp,5021,382.4
1778382230.913071,RL,10.0.0.4,10.0.0.7,upper,tcp,5023,748.7
1778382230.93835,RL,10.0.0.6,10.0.0.3,lower,tcp,5022,542.3
1778382230.9572134,RL,10.0.0.6,10.0.0.4,lower,tcp,5024,627.9
1778382231.0207198,RL,10.0.0.1,10.0.0.6,upper,tcp,5025,330.0
1778382231.0375772,RL,10.0.0.8,10.0.0.1,lower,tcp,5026,440.8
1778382231.0917635,RL,10.0.0.4,10.0.0.7,upper,tcp,5027,680.4
1778382231.1871624,RL,10.0.0.5,10.0.0.1,lower,tcp,5028,692.4
1778382231.189354,RL,10.0.0.6,10.0.0.4,upper,tcp,5030,726.9
1778382231.1909492,RL,10.0.0.3,10.0.0.7,lower,tcp,5029,396.8
1778382231.2313583,RL,10.0.0.3,10.0.0.6,lower,tcp,5031,706.3
1778382231.2357676,RL,10.0.0.7,10.0.0.2,upper,tcp,5032,437.0
1778382231.2803757,RL,10.0.0.2,10.0.0.5,lower,tcp,5033,412.1
1778382231.2913027,RL,10.0.0.5,10.0.0.1,upper,tcp,5034,689.4
1778382231.2937067,RL,10.0.0.3,10.0.0.6,lower,tcp,5035,370.4
1778382231.3939493,RL,10.0.0.5,10.0.0.1,lower,tcp,5036,493.0
1778382231.4041202,RL,10.0.0.1,10.0.0.6,upper,tcp,5037,579.9
1778382231.4568958,RL,10.0.0.6,10.0.0.3,lower,tcp,5038,686.2
1778382231.5027933,RL,10.0.0.4,10.0.0.6,upper,tcp,5039,627.6
1778382231.516039,RL,10.0.0.6,10.0.0.3,lower,tcp,5040,747.6
1778382231.5674803,RL,10.0.0.6,10.0.0.2,upper,tcp,5042,419.0
1778382231.5700629,RL,10.0.0.2,10.0.0.6,lower,tcp,5043,285.5
1778382231.5716715,RL,10.0.0.3,10.0.0.8,lower,tcp,5041,475.7
1778382231.5723143,RL,10.0.0.5,10.0.0.2,upper,tcp,5044,702.7
1778382231.6172674,RL,10.0.0.3,10.0.0.5,lower,tcp,5045,369.0
1778382231.6685536,RL,10.0.0.8,10.0.0.2,lower,tcp,5046,316.2
1778382231.69693,RL,10.0.0.4,10.0.0.6,upper,tcp,5047,653.7
1778382231.7088807,RL,10.0.0.6,10.0.0.1,lower,tcp,5048,579.5
1778382231.7135465,RL,10.0.0.5,10.0.0.1,lower,tcp,5050,451.3
1778382231.7149322,RL,10.0.0.3,10.0.0.5,upper,tcp,5051,345.8
1778382231.7260077,RL,10.0.0.3,10.0.0.8,lower,tcp,5049,483.5
1778382231.730851,RL,10.0.0.8,10.0.0.2,upper,tcp,5052,341.7
1778382231.7452967,RL,10.0.0.4,10.0.0.6,lower,tcp,5053,471.6
1778382231.8360906,RL,10.0.0.5,10.0.0.1,upper,tcp,5054,749.6
1778382231.8387394,RL,10.0.0.1,10.0.0.5,lower,tcp,5055,333.2
1778382231.8504088,RL,10.0.0.8,10.0.0.4,lower,tcp,5056,682.3
1778382231.8876495,RL,10.0.0.1,10.0.0.6,upper,tcp,5057,251.1
