policy,flow_id,src,dst,size_kb,throughput_mbps,latency_ms,packet_loss_percent
RL,0,h1,h5,387.5,8.79,562.652,0.0
RL,1,h6,h2,301.2,3.83,473.297,0.0
RL,2,h1,h8,264.9,2.04,661.739,0.0
RL,3,h6,h2,551.0,1.38,492.416,0.0
RL,4,h2,h8,474.6,7.1,438.88,0.0
RL,5,h7,h1,599.1,1.99,593.302,0.0
RL,6,h3,h7,357.7,1.78,632.63,0.0
RL,7,h7,h1,440.0,2.99,591.789,0.0
RL,8,h3,h7,382.3,1.67,642.118,0.0
RL,9,h5,h4,312.4,2.5,385.197,0.0
RL,10,h4,h5,396.6,1.16,454.908,0.0
RL,11,h7,h2,284.8,0.945,382.735,0.0
RL,12,h2,h7,677.7,1.31,419.953,0.0
RL,13,h5,h4,476.7,1.17,375.016,0.0
RL,14,h3,h6,427.6,1.34,614.168,20.0
RL,15,h7,h1,567.5,1.39,641.037,0.0
RL,16,h2,h6,439.7,0.831,517.788,0.0
RL,17,h6,h3,364.5,1.24,768.349,0.0
RL,18,h1,h7,383.9,0.989,740.948,0.0
RL,19,h6,h3,577.7,1.19,763.587,0.0
RL,20,h4,h8,382.4,1.12,522.487,0.0
RL,21,h6,h3,542.3,0.736,873.315,0.0
RL,22,h4,h7,748.7,1.22,433.218,0.0
RL,23,h6,h4,627.9,0.715,582.176,0.0
RL,24,h1,h6,330.0,1.71,626.073,20.0
RL,25,h8,h1,440.8,1.0,702.096,20.0
RL,26,h4,h7,680.4,1.58,376.293,0.0
RL,27,h5,h1,692.4,1.01,756.295,0.0
RL,28,h3,h7,396.8,0.803,804.369,0.0
RL,29,h6,h4,726.9,0.94,644.233,0.0
RL,30,h3,h6,706.3,0.776,996.871,0.0
RL,31,h7,h2,437.0,0.799,530.378,0.0
RL,32,h2,h5,412.1,0.774,448.986,0.0
RL,33,h5,h1,689.4,0.84,774.051,0.0
RL,34,h3,h6,370.4,0.67,745.432,20.0
RL,35,h5,h1,493.0,0.646,816.939,0.0
RL,36,h1,h6,579.9,0.884,720.208,20.0
RL,37,h6,h3,686.2,0.462,1070.504,0.0
RL,38,h4,h6,627.6,0.788,635.152,0.0
RL,39,h6,h3,747.6,0.752,1085.635,0.0
RL,40,h3,h8,475.7,0.6,900.352,20.0
RL,41,h6,h2,419.0,0.627,696.334,0.0
RL,42,h2,h6,285.5,0.714,645.459,0.0
RL,43,h5,h2,702.7,0.874,415.74,0.0
RL,44,h3,h5,369.0,0.721,925.429,0.0
RL,45,h8,h2,316.2,0.666,699.165,0.0
RL,46,h4,h6,653.7,1.17,663.781,0.0
RL,47,h6,h1,579.5,0.654,1056.14,0.0
RL,48,h3,h8,483.5,0.602,1165.296,0.0
RL,49,h5,h1,451.3,0.622,851.372,0.0
RL,50,h3,h5,345.8,0.739,940.43,0.0
RL,51,h8,h2,341.7,0.703,706.239,0.0
RL,52,h4,h6,471.6,0.714,677.574,0.0
RL,53,h5,h1,749.6,0.974,880.157,0.0
RL,54,h1,h5,333.2,0.481,969.702,0.0
RL,55,h8,h4,682.3,0.579,732.766,0.0
RL,56,h1,h6,251.1,0.694,1191.56,0.0
RL,57,h8,h3,392.6,0.911,1129.772,0.0
RL,58,h4,h6,398.4,0.554,703.695,0.0
RL,59,h5,h1,406.8,0.612,909.004,0.0
RL,60,h1,h8,709.7,0.798,1212.378,0.0
RL,61,h6,h1,290.1,0.535,1374.75,0.0
RL,62,h2,h5,284.0,0.491,331.964,0.0
RL,63,h6,h4,720.8,0.576,777.852,0.0
RL,64,h2,h5,291.0,0.398,349.634,0.0
RL,65,h7,h3,584.9,0.714,952.727,0.0
RL,66,h3,h6,447.9,0.773,1244.745,0.0
RL,67,h7,h4,714.5,0.503,475.103,0.0
RL,68,h1,h5,560.6,0.706,944.005,20.0
RL,69,h5,h1,356.6,0.622,892.869,20.0
RL,70,h3,h6,690.4,0.647,1341.12,0.0
RL,71,h6,h3,328.9,0.55,1453.957,0.0
RL,72,h3,h5,658.6,0.702,998.011,20.0
RL,73,h7,h1,382.2,0.623,932.418,20.0
RL,74,h1,h6,390.9,0.78,1136.945,20.0
RL,75,h6,h3,593.7,0.66,1304.34,20.0
RL,76,h3,h8,702.7,0.721,1160.142,20.0
RL,77,h5,h1,461.8,0.509,1012.115,0.0
RL,78,h3,h5,416.8,0.675,1052.368,0.0
RL,79,h6,h3,620.6,0.684,1451.063,0.0
RL,80,h4,h5,287.6,0.366,565.563,0.0
RL,81,h6,h1,541.3,0.619,1456.54,0.0
RL,82,h2,h8,270.9,0.56,780.758,0.0
RL,83,h7,h1,355.0,0.473,1008.512,0.0
RL,84,h2,h5,640.1,0.685,554.477,0.0
RL,85,h8,h2,682.3,0.71,845.227,0.0
RL,86,h2,h8,339.7,0.547,783.909,0.0
RL,87,h7,h4,682.0,0.501,458.656,0.0
RL,88,h2,h7,643.7,0.732,502.529,0.0
RL,89,h5,h4,679.3,0.486,453.996,0.0
RL,90,h2,h6,424.8,0.662,811.603,0.0
RL,91,h6,h2,580.0,0.412,833.288,0.0
RL,92,h4,h7,682.2,0.724,488.661,0.0
RL,93,h7,h3,504.7,0.631,1037.783,0.0
RL,94,h3,h5,688.5,0.662,1085.853,0.0
RL,95,h7,h2,731.3,0.698,438.262,0.0
RL,96,h3,h5,548.3,0.718,1112.148,0.0
RL,97,h7,h3,553.1,0.588,1051.819,0.0
RL,98,h1,h8,345.0,0.41,1533.561,0.0
RL,99,h5,h4,510.0,0.638,444.498,0.0
