timestamp,policy,proto,src,dst,src_port,dst_port,path
1778465403.4678645,FIFO,icmp,10.0.0.1,10.0.0.2,,,low_delay
1778465403.4711225,FIFO,icmp,10.0.0.1,10.0.0.3,,,balanced
1778465403.4748173,FIFO,icmp,10.0.0.1,10.0.0.4,,,high_bw
1778465403.4759674,FIFO,icmp,10.0.0.1,10.0.0.5,,,low_delay
1778465403.4863045,FIFO,icmp,10.0.0.1,10.0.0.6,,,balanced
1778465403.5171723,FIFO,icmp,10.0.0.1,10.0.0.7,,,high_bw
1778465403.5685694,FIFO,icmp,10.0.0.1,10.0.0.8,,,low_delay
1778465403.5825615,FIFO,icmp,10.0.0.2,10.0.0.3,,,balanced
1778465403.5841105,FIFO,icmp,10.0.0.2,10.0.0.4,,,high_bw
1778465403.5854635,FIFO,icmp,10.0.0.2,10.0.0.5,,,low_delay
1778465403.6035411,FIFO,icmp,10.0.0.2,10.0.0.6,,,balanced
1778465403.6254232,FIFO,icmp,10.0.0.2,10.0.0.7,,,high_bw
1778465403.677606,FIFO,icmp,10.0.0.2,10.0.0.8,,,low_delay
1778465403.688503,FIFO,icmp,10.0.0.3,10.0.0.4,,,balanced
1778465403.6897292,FIFO,icmp,10.0.0.3,10.0.0.5,,,high_bw
1778465403.7419522,FIFO,icmp,10.0.0.3,10.0.0.6,,,low_delay
1778465403.752308,FIFO,icmp,10.0.0.3,10.0.0.7,,,balanced
1778465403.777713,FIFO,icmp,10.0.0.3,10.0.0.8,,,high_bw
1778465403.831906,FIFO,icmp,10.0.0.4,10.0.0.5,,,low_delay
1778465403.841722,FIFO,icmp,10.0.0.4,10.0.0.6,,,balanced
1778465403.865248,FIFO,icmp,10.0.0.4,10.0.0.7,,,high_bw
1778465403.9174056,FIFO,icmp,10.0.0.4,10.0.0.8,,,low_delay
1778465404.0051756,FIFO,icmp,10.0.0.5,10.0.0.6,,,balanced
1778465404.007409,FIFO,icmp,10.0.0.5,10.0.0.7,,,high_bw
1778465404.0089042,FIFO,icmp,10.0.0.5,10.0.0.8,,,low_delay
1778465404.0883627,FIFO,icmp,10.0.0.6,10.0.0.7,,,balanced
1778465404.0898247,FIFO,icmp,10.0.0.6,10.0.0.8,,,high_bw
1778465404.2652338,FIFO,icmp,10.0.0.7,10.0.0.8,,,low_delay
1778465405.4563246,FIFO,tcp,10.0.0.1,10.0.0.5,35894,5001,balanced
1778465405.4626217,FIFO,tcp,10.0.0.1,10.0.0.8,53348,5003,high_bw
1778465405.5081074,FIFO,tcp,10.0.0.6,10.0.0.2,52684,5004,low_delay
1778465405.5430865,FIFO,tcp,10.0.0.7,10.0.0.1,38928,5006,balanced
1778465405.5499296,FIFO,tcp,10.0.0.3,10.0.0.7,49438,5007,high_bw
1778465405.5526383,FIFO,tcp,10.0.0.2,10.0.0.8,44546,5005,low_delay
