timestamp,policy,proto,src,dst,src_port,dst_port,path
1778549894.0442483,RL,icmp,10.0.0.1,10.0.0.2,,,balanced
1778549894.0480018,RL,icmp,10.0.0.1,10.0.0.3,,,low_delay
1778549894.0506175,RL,icmp,10.0.0.1,10.0.0.4,,,high_bw
1778549894.0533562,RL,icmp,10.0.0.1,10.0.0.5,,,balanced
1778549894.0794647,RL,icmp,10.0.0.1,10.0.0.6,,,high_bw
1778549894.135563,RL,icmp,10.0.0.1,10.0.0.7,,,balanced
1778549894.1589465,RL,icmp,10.0.0.1,10.0.0.8,,,low_delay
1778549894.1705434,RL,icmp,10.0.0.2,10.0.0.3,,,high_bw
1778549894.1723928,RL,icmp,10.0.0.2,10.0.0.4,,,balanced
1778549894.1746712,RL,icmp,10.0.0.2,10.0.0.5,,,high_bw
1778549894.228798,RL,icmp,10.0.0.2,10.0.0.6,,,balanced
1778549894.252258,RL,icmp,10.0.0.2,10.0.0.7,,,low_delay
1778549894.2640004,RL,icmp,10.0.0.2,10.0.0.8,,,high_bw
1778549894.3157372,RL,icmp,10.0.0.3,10.0.0.4,,,balanced
1778549894.3172913,RL,icmp,10.0.0.3,10.0.0.5,,,high_bw
1778549894.3692377,RL,icmp,10.0.0.3,10.0.0.6,,,balanced
1778549894.3912349,RL,icmp,10.0.0.3,10.0.0.7,,,low_delay
1778549894.4011343,RL,icmp,10.0.0.3,10.0.0.8,,,high_bw
1778549894.458798,RL,icmp,10.0.0.4,10.0.0.5,,,balanced
1778549894.4831047,RL,icmp,10.0.0.4,10.0.0.6,,,high_bw
1778549894.5361967,RL,icmp,10.0.0.4,10.0.0.7,,,balanced
1778549894.559461,RL,icmp,10.0.0.4,10.0.0.8,,,low_delay
1778549894.7117891,RL,icmp,10.0.0.5,10.0.0.6,,,high_bw
1778549894.7136264,RL,icmp,10.0.0.5,10.0.0.7,,,balanced
1778549894.7150114,RL,icmp,10.0.0.5,10.0.0.8,,,high_bw
1778549894.8626752,RL,icmp,10.0.0.6,10.0.0.7,,,low_delay
1778549894.8647375,RL,icmp,10.0.0.6,10.0.0.8,,,high_bw
1778549894.9612594,RL,icmp,10.0.0.7,10.0.0.8,,,balanced
1778549896.3448977,RL,tcp,10.0.0.3,10.0.0.7,51180,5001,high_bw
1778549896.3937435,RL,tcp,10.0.0.6,10.0.0.4,41058,5002,low_delay
1778549896.4107206,RL,tcp,10.0.0.8,10.0.0.4,54892,5006,balanced
1778549896.4172542,RL,tcp,10.0.0.2,10.0.0.8,44624,5003,high_bw
1778549896.4233687,RL,tcp,10.0.0.5,10.0.0.1,60522,5004,balanced
1778549896.4301038,RL,tcp,10.0.0.1,10.0.0.6,37910,5005,low_delay
1778549896.4336133,RL,tcp,10.0.0.1,10.0.0.8,57412,5009,high_bw
1778549896.434399,RL,tcp,10.0.0.3,10.0.0.5,49768,5007,balanced
