flow_id,src,dst,start_time,size_kb
0,h3,h7,0.05,750.0
1,h6,h4,0.07,630.7
2,h2,h8,0.08,499.4
3,h5,h1,0.08,696.2
4,h1,h6,0.08,407.0
5,h8,h4,0.08,428.4
6,h3,h5,0.09,433.0
7,h8,h2,0.14,516.5
8,h1,h8,0.16,366.4
9,h7,h1,0.18,329.6
10,h3,h7,0.18,434.3
11,h6,h4,0.18,505.9
12,h4,h6,0.2,699.6
13,h8,h1,0.2,729.1
14,h3,h5,0.2,399.2
15,h6,h4,0.21,506.0
16,h4,h8,0.21,534.1
17,h7,h4,0.23,707.6
18,h3,h7,0.23,424.0
19,h7,h3,0.23,704.1
20,h4,h7,0.24,263.3
21,h7,h4,0.24,724.7
22,h2,h6,0.29,262.8
23,h7,h4,0.29,594.9
24,h2,h8,0.34,388.7
25,h7,h1,0.36,532.1
26,h1,h8,0.41,430.7
27,h5,h2,0.43,541.7
28,h4,h6,0.44,617.9
29,h8,h1,0.44,521.4
30,h2,h6,0.45,478.1
31,h7,h1,0.45,531.1
32,h3,h5,0.45,255.9
33,h7,h3,0.5,376.1
34,h3,h6,0.52,532.2
35,h5,h2,0.52,482.2
36,h3,h8,0.53,709.5
37,h8,h4,0.54,256.3
38,h3,h8,0.59,372.6
39,h6,h3,0.64,668.5
40,h3,h8,0.69,715.1
41,h5,h1,0.69,548.6
42,h3,h7,0.7,276.8
43,h5,h1,0.7,697.6
44,h4,h8,0.7,283.6
45,h5,h4,0.7,572.7
46,h3,h7,0.75,369.5
47,h8,h2,0.75,252.9
48,h3,h7,0.77,567.4
49,h8,h1,0.79,608.1
50,h1,h6,0.81,623.9
51,h8,h4,0.83,391.4
52,h2,h5,0.85,282.8
53,h6,h2,0.85,489.1
54,h1,h6,0.86,290.0
55,h8,h4,0.91,335.1
56,h3,h6,0.92,336.8
57,h8,h1,0.92,527.2
58,h3,h6,0.94,693.9
59,h5,h2,0.94,396.0
60,h2,h7,0.94,658.1
61,h6,h3,0.94,290.5
62,h4,h5,0.96,653.4
63,h6,h4,1.01,497.7
64,h1,h6,1.03,543.7
65,h7,h3,1.03,293.8
66,h2,h7,1.05,550.7
67,h8,h1,1.07,746.3
68,h2,h5,1.07,290.4
69,h6,h1,1.07,589.5
70,h4,h6,1.07,435.3
71,h8,h4,1.09,431.4
72,h3,h6,1.1,317.4
73,h7,h2,1.12,426.8
74,h3,h7,1.17,478.8
75,h6,h4,1.17,608.6
76,h2,h5,1.19,424.6
77,h5,h4,1.19,713.5
78,h3,h7,1.19,348.3
79,h6,h1,1.19,359.0
80,h1,h5,1.24,474.5
81,h8,h4,1.25,554.7
82,h4,h6,1.3,365.7
83,h8,h1,1.32,310.4
84,h1,h5,1.33,530.0
85,h8,h3,1.33,605.2
86,h1,h7,1.33,387.8
87,h7,h4,1.38,432.3
88,h3,h8,1.38,310.3
89,h6,h4,1.43,292.6
90,h4,h7,1.43,382.5
91,h8,h3,1.45,333.8
92,h1,h7,1.45,337.8
93,h5,h1,1.45,708.8
94,h4,h8,1.45,603.7
95,h6,h1,1.45,580.2
96,h2,h7,1.45,414.3
97,h7,h4,1.45,611.3
98,h2,h8,1.47,518.0
99,h5,h4,1.49,608.9
100,h2,h8,1.49,553.9
101,h8,h3,1.49,431.0
102,h4,h6,1.51,520.9
103,h6,h2,1.51,252.7
104,h2,h6,1.51,363.0
105,h5,h2,1.56,743.2
106,h1,h6,1.58,681.4
107,h5,h1,1.58,661.2
108,h1,h5,1.59,498.5
109,h8,h3,1.6,404.0
110,h1,h6,1.6,570.3
111,h8,h3,1.6,489.8
112,h3,h5,1.62,641.1
113,h8,h1,1.62,272.1
114,h1,h8,1.63,588.1
115,h5,h3,1.65,278.2
116,h2,h7,1.65,387.1
117,h7,h2,1.65,505.0
118,h3,h8,1.65,695.9
119,h6,h1,1.65,273.3
120,h4,h6,1.65,313.4
121,h7,h4,1.67,409.2
122,h2,h6,1.69,408.1
123,h6,h4,1.74,392.6
124,h1,h6,1.74,306.5
125,h5,h4,1.75,636.5
126,h3,h6,1.75,601.2
127,h8,h4,1.76,506.1
128,h4,h7,1.81,630.8
129,h8,h4,1.81,428.9
130,h2,h6,1.81,329.0
131,h8,h4,1.81,676.7
132,h4,h6,1.82,719.6
133,h6,h4,1.82,609.9
134,h2,h5,1.83,738.4
135,h6,h1,1.84,399.1
136,h1,h6,1.86,573.8
137,h5,h2,1.86,400.9
138,h2,h6,1.86,525.1
139,h5,h1,1.86,629.6
140,h1,h7,1.91,463.4
141,h6,h4,1.96,524.9
142,h4,h5,1.96,492.1
143,h5,h2,1.96,448.0
144,h2,h5,1.98,692.8
145,h5,h1,1.98,410.1
146,h3,h5,1.98,575.3
147,h6,h4,1.99,655.2
148,h3,h7,1.99,554.3
149,h7,h2,2.01,410.7
