timestamp,num_switches,num_flows,feature_extract_ms,inference_ms,rule_install_ms,total_overhead_ms
1777831422.928596,23,20,0.035,0.001,0.329,107.641
1777831423.9452906,23,25,0.054,0.002,0.538,112.288
1777831424.951096,23,25,0.06,0.002,0.552,110.259
1777831425.963988,23,25,0.234,0.002,0.684,111.261
1777831426.9770763,23,25,0.06,0.001,0.528,112.698
1777831427.9916632,23,10,0.046,0.002,0.196,112.151
1777831429.0112157,23,10,0.038,0.002,0.358,117.75
1777831430.0237556,23,10,0.044,0.002,0.218,113.679
1777831431.0284903,23,10,0.073,0.002,0.199,108.257
1777831432.0458972,23,10,0.032,0.002,0.206,113.25
1777831433.0593462,23,25,0.057,0.002,0.639,112.087
1777831434.0658834,23,20,0.051,0.002,0.342,109.076
1777831435.083145,23,20,0.057,0.002,0.473,112.212
1777831436.09467,23,20,0.051,0.002,0.352,112.719
1777831437.1306086,23,20,0.046,0.001,0.35,131.045
1777831438.1290307,23,25,0.06,0.002,0.602,112.823
1777831439.1385655,23,25,0.183,0.002,0.506,111.158
1777831440.1467779,23,25,0.057,0.002,0.427,110.061
1777831441.1608868,23,25,0.056,0.002,0.407,113.061
1777831442.1905005,23,25,0.149,0.002,0.514,109.758
1777831443.2117023,23,25,0.062,0.002,0.557,112.88
1777831444.2206135,23,25,0.16,0.002,0.414,110.783
1777831445.2325861,23,25,0.171,0.002,0.442,111.853
1777831446.240284,23,25,0.057,0.002,0.541,110.68
1777831447.253238,23,25,0.068,0.002,0.549,113.453
1777831448.2680624,23,20,0.053,0.002,0.327,116.468
1777831449.2750912,23,20,0.047,0.002,0.443,109.65
1777831450.2922552,23,20,0.057,0.002,0.496,118.813
1777831451.29872,23,20,0.046,0.002,0.331,115.644
1777831452.3138564,23,20,0.057,0.002,0.334,116.613
1777831453.3217611,23,25,0.06,0.002,0.428,110.361
1777831454.35817,23,25,0.057,0.002,0.401,111.798
1777831455.369451,23,25,0.057,0.001,0.596,111.793
1777831456.3790302,23,25,0.062,0.002,0.417,114.435
1777831457.3939064,23,25,0.061,0.002,0.443,109.668
1777831458.407381,23,25,0.062,0.002,0.597,112.426
1777831459.41701,23,25,0.067,0.002,0.45,112.106
1777831460.42447,23,25,0.146,0.002,0.441,110.904
1777831461.4347713,23,25,0.055,0.001,0.499,109.422
1777831462.4506087,23,5,0.041,0.001,0.116,114.818
1777831463.4545605,23,5,0.028,0.001,0.122,110.72
1777831464.4629343,23,5,0.026,0.001,0.123,109.35
1777831465.4743004,23,5,0.024,0.001,0.12,110.108
1777831466.4896922,23,5,0.026,0.002,0.118,111.438
1777831467.4996583,23,25,0.049,0.002,0.472,111.293
1777831468.509608,23,25,0.057,0.001,0.487,111.529
1777831469.5215924,23,25,0.063,0.002,0.387,111.985
1777831470.5411804,23,25,0.071,0.002,0.42,119.337
1777831471.543721,23,25,0.054,0.001,0.38,110.58
1777831472.5621953,23,25,0.066,0.002,0.521,113.21
1777831473.5753047,23,25,0.055,0.002,0.535,109.749
1777831474.5874226,23,25,0.056,0.002,0.51,111.125
1777831475.5991988,23,25,0.055,0.002,0.524,111.976
1777831476.6098218,23,25,0.056,0.002,0.415,111.692
1777831477.6239238,23,25,0.053,0.002,0.389,112.951
1777831478.6316383,23,25,0.062,0.002,0.431,109.54
1777831479.6447134,23,25,0.058,0.002,0.408,111.821
1777831480.6583257,23,25,0.059,0.002,0.57,112.414
1777831481.6694806,23,25,0.162,0.002,0.43,111.824
1777831482.6872017,23,25,0.126,0.003,0.807,117.651
1777831483.6900868,23,25,0.125,0.002,0.417,109.288
1777831484.7090867,23,25,0.062,0.002,0.532,113.219
1777831485.7262096,23,25,0.066,0.002,0.412,112.963
1777831486.7403877,23,25,0.071,0.002,0.749,115.393
1777831487.7548928,23,25,0.064,0.002,0.404,112.396
1777831488.7646925,23,25,0.072,0.002,0.516,113.019
1777831489.7761497,23,25,0.065,0.002,0.566,112.717
1777831490.7896962,23,25,0.07,0.002,0.42,111.51
1777831491.8009863,23,25,0.066,0.002,0.404,109.653
1777831492.811377,23,25,0.06,0.002,0.548,111.014
1777831493.822937,23,25,0.055,0.002,0.4,109.509
1777831494.838497,23,25,0.057,0.002,0.399,114.104
1777831495.847208,23,25,0.054,0.002,0.53,112.132
1777831496.8579032,23,25,0.054,0.002,0.387,110.583
1777831497.8727355,23,25,0.054,0.002,0.386,118.317
1777831498.8775063,23,25,0.159,0.002,0.441,112.052
1777831499.885275,23,25,0.053,0.002,0.682,110.281
1777831500.8966668,23,25,0.054,0.002,0.39,110.353
1777831501.9041233,23,25,0.044,0.002,0.414,106.611
1777831502.9188325,23,25,0.059,0.002,0.442,110.48
1777831503.9321306,23,25,0.062,0.002,0.537,113.077
1777831504.9431818,23,25,0.056,0.002,0.514,112.152
1777831505.9507964,23,25,0.053,0.001,0.392,108.718
1777831506.962325,23,25,0.054,0.002,0.541,110.226
1777831507.9725852,23,5,0.039,0.001,0.119,110.07
1777831508.9821427,23,5,0.025,0.001,0.227,110.319
1777831509.9990988,23,5,0.022,0.002,0.213,111.312
1777831511.0170138,23,5,0.026,0.001,0.122,112.059
1777831512.0308428,23,5,0.022,0.002,0.118,110.063
1777831513.0370445,23,25,0.051,0.001,0.398,108.549
1777831514.0486674,23,25,0.063,0.002,0.433,109.009
1777831515.065469,23,25,0.063,0.002,0.52,114.799
1777831516.0790935,23,25,0.072,0.002,0.567,112.579
1777831517.0892148,23,25,0.068,0.002,0.511,112.313
1777831518.093189,23,25,0.056,0.002,0.515,107.636
1777831519.1047306,23,25,0.06,0.002,0.407,109.893
1777831520.1175392,23,25,0.057,0.002,0.598,110.551
1777831521.1266701,23,25,0.049,0.002,0.418,110.568
1777831522.1376429,23,25,0.062,0.002,0.411,111.875
1777831523.1472604,23,25,0.052,0.002,0.507,110.1
1777831524.1539967,23,25,0.058,0.002,0.395,109.253
1777831525.1605296,23,25,0.136,0.002,0.432,108.516
1777831526.173581,23,25,0.054,0.002,0.386,110.811
1777831527.1887085,23,25,0.07,0.002,0.402,111.858
1777831528.194037,23,25,0.052,0.002,0.417,107.775
1777831529.2163758,23,25,0.057,0.002,0.649,111.736
1777831530.2400317,23,25,0.054,0.002,0.423,111.425
1777831531.246583,23,25,0.055,0.002,0.481,108.55
1777831532.253228,23,25,0.055,0.002,0.422,108.055
1777831533.2682502,23,5,0.041,0.002,0.118,111.834
1777831534.2776935,23,5,0.025,0.002,0.123,109.708
1777831535.2877069,23,5,0.028,0.001,0.149,109.786
1777831536.3024714,23,5,0.027,0.001,0.123,112.531
1777831537.3112094,23,5,0.026,0.001,0.121,110.118
1777831538.325336,23,25,0.05,0.002,0.539,112.314
1777831539.3357773,23,25,0.059,0.002,0.391,112.094
1777831540.343407,23,25,0.056,0.002,0.487,109.994
1777831541.3534734,23,25,0.055,0.002,0.494,110.342
1777831542.3635397,23,25,0.056,0.001,0.517,109.063
1777831543.383153,23,25,0.058,0.002,0.498,118.762
1777831544.3849802,23,25,0.056,0.002,0.516,109.841
1777831545.3934548,23,25,0.066,0.002,0.517,109.266
1777831546.4034297,23,25,0.098,0.002,0.563,109.076
1777831547.422154,23,25,0.07,0.002,0.607,110.627
1777831548.4337883,23,25,0.15,0.002,0.489,111.023
1777831549.451603,23,25,0.065,0.001,0.417,117.539
1777831550.4537609,23,25,0.053,0.002,0.399,110.018
1777831551.4665039,23,25,0.246,0.003,0.521,111.336
1777831552.48429,23,25,0.057,0.002,0.61,117.972
1777831553.4861662,23,25,0.053,0.002,0.674,110.375
1777831554.5054672,23,25,0.058,0.002,0.526,112.659
1777831555.5176277,23,25,0.066,0.002,0.418,112.084
1777831556.532349,23,25,0.087,0.003,0.577,113.008
1777831557.5434668,23,25,0.062,0.002,0.408,112.362
1777831558.5618677,23,5,0.131,0.003,0.136,112.723
1777831559.584696,23,5,0.025,0.001,0.121,109.374
1777831560.6027634,23,5,0.031,0.002,0.127,112.37
1777831561.6193259,23,5,0.03,0.002,0.219,111.699
1777831562.6331246,23,5,0.03,0.001,0.219,111.911
1777831563.6396117,23,25,0.046,0.002,0.402,109.244
1777831564.6573133,23,25,0.055,0.002,0.527,112.22
1777831565.6690767,23,25,0.144,0.003,0.576,113.882
1777831566.6853569,23,25,0.065,0.002,0.542,115.443
1777831567.6986136,23,25,0.061,0.002,0.501,115.427
1777831568.7091565,23,25,0.067,0.002,0.709,112.341
1777831569.732383,23,25,0.075,0.002,0.503,116.704
1777831570.7400668,23,25,0.068,0.002,0.523,113.383
1777831571.7454586,23,25,0.065,0.002,0.705,109.833
1777831572.7633574,23,25,0.063,0.002,0.518,113.183
1777831573.7824051,23,25,0.058,0.002,0.544,112.486
1777831574.7940016,23,25,0.073,0.003,0.391,116.37
1777831575.800135,23,25,0.059,0.002,0.514,112.358
1777831576.8192747,23,25,0.151,0.003,0.559,112.602
1777831577.8252368,23,25,0.147,0.002,0.648,110.604
1777831578.8490028,23,25,0.066,0.002,0.406,116.543
1777831579.8566093,23,25,0.066,0.002,0.422,112.027
1777831580.877246,23,25,0.066,0.002,0.684,115.086
1777831581.882522,23,25,0.169,0.002,0.715,112.117
1777831582.8996706,23,25,0.087,0.003,0.457,117.445
1777831583.9142187,23,25,0.054,0.002,0.502,115.192
1777831584.9449034,23,25,0.059,0.002,0.394,134.105
1777831585.9413805,23,25,0.064,0.002,0.419,117.426
1777831586.9445522,23,25,0.058,0.002,0.402,110.595
1777831587.9512472,23,25,0.056,0.002,0.475,108.841
1777831588.9630003,23,25,0.058,0.001,0.422,108.852
1777831589.9842505,23,25,0.065,0.002,0.529,113.486
1777831590.99378,23,25,0.055,0.002,0.393,111.138
1777831592.004711,23,25,0.065,0.002,0.413,112.18
1777831593.0189629,23,5,0.048,0.002,0.129,119.197
1777831594.0248845,23,5,0.027,0.002,0.126,109.753
1777831595.0421715,23,5,0.068,0.001,0.245,109.119
1777831596.0593317,23,5,0.026,0.001,0.12,111.96
1777831597.0761302,23,5,0.027,0.001,0.121,111.998
1777831598.0842931,23,25,0.045,0.002,0.549,109.839
1777831599.1024897,23,25,0.058,0.002,0.411,111.812
1777831600.117387,23,25,0.057,0.002,0.591,113.497
1777831601.1305778,23,25,0.059,0.002,0.396,113.016
1777831602.143262,23,25,0.056,0.002,0.535,112.341
1777831603.1531544,23,25,0.057,0.002,0.625,111.609
1777831604.1710668,23,25,0.059,0.002,0.533,113.892
1777831605.1955411,23,25,0.053,0.002,0.393,129.955
1777831606.1884654,23,25,0.148,0.002,0.595,111.961
1777831607.2036242,23,25,0.055,0.002,0.512,111.605
1777831608.2099879,23,25,0.057,0.002,0.409,109.189
1777831609.234986,23,25,0.158,0.002,0.411,118.784
1777831610.2370543,23,25,0.055,0.002,0.637,110.942
1777831611.2521858,23,25,0.057,0.001,0.617,111.728
1777831612.258234,23,25,0.061,0.002,0.635,109.918
1777831613.2662575,23,25,0.057,0.002,0.398,108.377
1777831614.2816303,23,25,0.064,0.002,0.428,112.178
1777831615.3109422,23,25,0.049,0.001,0.452,130.199
1777831616.3029938,23,25,0.06,0.002,0.52,111.417
1777831617.3153753,23,25,0.063,0.002,0.528,111.979
1777831618.3283172,23,5,0.139,0.003,0.143,110.887
1777831619.3461604,23,5,0.03,0.001,0.281,112.449
1777831620.3546994,23,5,0.025,0.002,0.12,110.184
